"","P","Y","A","G"
"848",5,5,1,0
"849",3,4,1,1
"850",5,5,1,0
"851",5,5,1,0
"852",5,4,1,-1
"853",5,5,1,0
"854",4,5,1,1
"855",3,5,1,2
"856",5,5,2,0
"857",5,5,2,0
"858",5,5,2,0
"859",3,5,2,2
"860",3,3,2,0
"861",3,3,1,0
"862",3,4,1,1
"863",4,5,1,1
"864",5,4,1,-1
"865",5,4,1,-1
"866",2,4,1,2
"867",5,5,1,0
"868",2,1,2,-1
"869",5,5,2,0
"870",3,4,2,1
"871",3,3,2,0
"872",2,4,2,2
"873",3,5,2,2
"874",4,5,1,1
"875",5,5,1,0
"876",5,4,1,-1
"877",3,3,1,0
"878",5,5,1,0
"879",4,5,1,1
"880",5,4,2,-1
"881",5,5,2,0
"882",4,5,2,1
"883",4,5,2,1
"884",3,5,1,2
"885",3,3,1,0
"886",4,4,1,0
"887",1,4,1,3
"888",5,5,1,0
"889",1,5,1,4
"890",2,2,1,0
"891",2,2,1,0
"892",4,4,1,0
"893",3,4,2,1
"894",2,3,2,1
"895",4,5,2,1
"896",4,5,2,1
"897",2,4,2,2
"898",4,3,2,-1
"899",2,3,2,1
"900",2,4,1,2
"901",2,5,1,3
"902",4,5,1,1
"903",5,5,1,0
"904",2,5,1,3
"905",3,5,1,2
"906",3,3,2,0
"907",5,5,2,0
"908",2,5,2,3
"909",2,2,2,0
"910",5,5,2,0
"911",3,4,1,1
"912",3,3,1,0
"913",3,5,1,2
"914",5,5,1,0
"915",3,5,1,2
"916",3,5,1,2
"917",2,3,1,1
"918",4,5,2,1
"919",2,4,2,2
"920",5,5,2,0
"921",4,5,2,1
"922",2,4,2,2
"923",3,5,2,2
"924",5,5,2,0
"925",2,3,2,1
"926",5,5,2,0
"927",4,5,2,1
"928",2,3,2,1
"929",2,2,2,0
"930",5,4,2,-1
"931",2,4,2,2
"932",4,5,2,1
"933",2,3,1,1
"934",4,5,1,1
"935",3,4,1,1
"936",5,5,1,0
"937",5,4,1,-1
"938",2,5,1,3
"939",4,5,1,1
"940",4,4,2,0
"941",3,4,2,1
"942",4,4,2,0
"943",5,5,2,0
"944",3,4,2,1
"945",4,5,2,1
"946",2,5,2,3
"947",4,5,1,1
"948",5,4,1,-1
"949",4,5,1,1
"950",5,5,1,0
"951",5,5,1,0
"952",4,5,1,1
"953",3,5,1,2
"954",2,4,1,2
"955",3,4,1,1
"956",3,5,1,2
"957",2,3,1,1
"958",3,3,1,0
"959",5,5,1,0
"960",5,5,1,0
"961",5,5,1,0
"962",3,3,1,0
"963",4,4,1,0
"964",3,3,2,0
"965",3,4,2,1
"966",4,5,2,1
"967",4,4,2,0
"968",5,5,2,0
"969",3,4,2,1
"970",5,5,2,0
"971",3,4,2,1
"972",5,5,2,0
"973",5,5,2,0
"974",3,3,1,0
"975",3,5,1,2
"976",2,5,1,3
"977",5,5,1,0
"978",4,5,1,1
"979",2,1,1,-1
"980",2,3,1,1
"981",4,5,1,1
"982",5,4,1,-1
"983",5,5,1,0
"984",5,5,1,0
"985",3,4,1,1
"986",2,2,2,0
"987",1,3,2,2
"988",3,4,2,1
"989",5,5,2,0
"990",2,1,2,-1
